i,time,PWM_l,PWM_r,x,y,theta
261,26.1,0.25,0.5,-461.18111770374844,-689.7085029061892,6.048349096788444
262,26.200000000000003,0.25,0.5,-450.85449902678164,-692.1700657932479,6.114472335914423
263,26.3,0.25,0.5,-440.51730637503465,-693.9366910843963,6.179719895777182
264,26.400000000000002,0.25,0.5,-429.85077619240224,-695.0335947001721,6.245278704138652
265,26.5,0.25,0.5,-419.27719039641755,-695.4328099620527,0.029459982363610138
266,26.6,0.25,0.5,-408.5862943981146,-695.1182032636738,0.09682418475613627
267,26.700000000000003,0.25,0.5,-398.0443368025937,-694.104308801389,0.1625525442160975
268,26.8,0.25,0.5,-387.46040870816887,-692.3739776815434,0.2286382245935823
269,26.900000000000002,0.25,0.5,-377.10648537574843,-689.9546904293743,0.29455669709840016
270,27.0,0.25,0.5,-366.8798283003874,-686.889094205841,0.35976802301081984
271,27.1,0.25,0.5,-356.96499771384083,-683.1463448888468,0.4270025435749033
272,27.200000000000003,0.25,0.5,-347.2878435410748,-678.6956768301415,0.4936634199979222
273,27.3,0.25,0.5,-337.9842331493502,-673.6583308169565,0.5597393797085534
274,27.400000000000002,0.25,0.5,-329.0873643603842,-667.9537179704887,0.6257685031200516
275,27.5,0.25,0.5,-320.42063549078455,-661.7924635838579,0.691302355434591
276,27.6,0.25,0.5,-312.2583366668383,-655.1450142579665,0.7573962333875736
277,27.700000000000003,0.25,0.5,-304.4784639960777,-647.750560646042,0.8234706402438362
278,27.8,0.25,0.5,-297.17043263955725,-639.9196692896085,0.8894261821512425
279,27.900000000000002,0.25,0.5,-290.59166970560415,-631.5330543658387,0.9556769173360607
280,28.0,0.25,0.5,-284.38747649953916,-622.7894040296485,1.0212293289514687
281,28.1,0.25,0.5,-278.76355374105015,-613.701524994673,1.0873948991560383
282,28.200000000000003,0.25,0.5,-273.87003925086896,-604.2186441047204,1.1534341929662049
283,28.3,0.25,0.5,-269.47618623591313,-594.4908204839371,1.2181862532978527
284,28.400000000000002,0.25,0.5,-265.77449435541735,-584.6852288934804,1.2843985406599707
285,28.5,0.25,0.5,-262.7548876340431,-574.573466275853,1.3500106666457186
286,28.6,0.25,0.5,-260.4200786592285,-564.22209693671,1.4159510414903413
287,28.700000000000003,0.25,0.5,-258.7723374347782,-553.7368973942903,1.4832120838293212
288,28.8,0.25,0.5,-257.8256565745581,-543.1380513945855,1.5490041377666532
289,28.900000000000002,0.25,0.5,-257.5944052139539,-532.5076707367309,1.6150591629711044
290,29.0,0.25,0.5,-258.0679992257103,-521.9839887634286,1.6818181728951802
291,29.1,0.25,0.5,-259.2549631497439,-511.36003750707874,1.748308865347553
292,29.200000000000003,0.25,0.5,-261.14490184177595,-500.8410905488614,1.8144413955380596
293,29.3,0.25,0.5,-263.69040921372505,-490.39272702900786,1.8814424630691513
